,title,rooms,building_area,land_area,price,location,City,District
24,"Dom z zabudowaniami 62-660 Dąbie, Domanin",5 pokoi,"209,88 m²",działka 7 829 m²,198 600 zł,"Domanin, kolski, wielkopolskie",Domanin,wielkopolskie
25,"Dom ul. Stroma, Szczecin",3 pokoje,138 m²,działka 631 m²,370 500 zł,"Szczecin, Zachód, Pomorzany",Szczecin,Pomorzany
26,Dom w zabudowie bliźniaczej Żnin ul.Dąbrowskiego,3 pokoje,"64,69 m²",działka 175 m²,104 250 zł,"Żnin, żniński, kujawsko-pomorskie",Żnin,kujawsko-pomorskie
27,Mieszkanie przy ul. Pazińskiego w Warszawie,4 pokoje,101 m²,,429 450 zł,"Warszawa, mazowieckie",Warszawa,mazowieckie
28,Działka 56-504 Dziadowa Kłoda,,,3 917 m²,10 500 zł,"Dziadowa Kłoda, oleśnicki, dolnośląskie",Dziadowa Kłoda,dolnośląskie
29,"Dom ul. Mieszka I , Lubawa",5 pokoi,"178,93 m²",działka 644 m²,465 000 zł,"Lubawa, iławski, warmińsko-mazurskie",Lubawa,warmińsko-mazurskie
30,"Mieszkanie ul. Robotnicza, Koniecpol",3 pokoje,"60,90 m²",,147 675 zł,"Koniecpol, częstochowski, śląskie",Koniecpol,śląskie
31,"Mieszkanie ul. Magnacka, Warszawa",3 pokoje,"65,60 m²",,318 150 zł,"Warszawa, Ursus",Warszawa,Ursus
32,Dom 06-460 Rąbież Gruduski,3 pokoje,75 m²,działka 4 059 m²,116 250 zł,"Rąbież Gruduski, ciechanowski, mazowieckie",Rąbież Gruduski,mazowieckie
33,Dom ul. Żytnia Tomaszów Mazowiecki,4 pokoje,123 m²,działka 491 m²,122 775 zł,"Tomaszów Mazowiecki, tomaszowski, łódzkie",Tomaszów Mazowiecki,łódzkie
34,"Dom ul. Przeskok, Wałbrzych",7 pokoi,"413,75 m²",działka 12 173 m²,902 325 zł,"Wałbrzych, dolnośląskie",Wałbrzych,dolnośląskie
35,Dom 96-200 Dziurdzioły,4 pokoje,115 m²,działka 6 700 m²,341 175 zł,"Dziurdzioły, rawski, łódzkie",Dziurdzioły,łódzkie
36,Dom 96-100 Miedniewice,6 pokoi,"167,70 m²",działka 616 m²,383 268 zł,"Miedniewice, skierniewicki, łódzkie",Miedniewice,łódzkie
37,"Mieszkanie ul. Górna, Starachowice",4 pokoje,"58,29 m²",,201 600 zł,"Starachowice, starachowicki, świętokrzyskie",Starachowice,świętokrzyskie
38,"Dom, 09-412 Stare Proboszczewice",4 pokoje,80 m²,działka 5 000 m²,"261 066,67 zł","Stare Proboszczewice, płocki, mazowieckie",Stare Proboszczewice,mazowieckie
39,"Dom ul. Lachowicka, Poznań",7 pokoi,"178,13 m²",działka 1 050 m²,"487 333,33 zł","Poznań, Nowe Miasto, Starołęka",Poznań,Starołęka
40,"2 Działki, 32-720 Królówka",,,800 m²,"29 466,67 zł","Królówka, bocheński, małopolskie",Królówka,małopolskie
41,"Dom ul. Słoneczna, 05-540 Piskórka",5 pokoi,210 m²,działka 1 987 m²,"342 187,50 zł","Piskórka, piaseczyński, mazowieckie",Piskórka,mazowieckie
42,"Bliźniak ul Miedzińskiego, Rawicz",4 pokoje,"145,40 m²",działka 334 m²,"427 103,25 zł","Rawicz, rawicki, wielkopolskie",Rawicz,wielkopolskie
43,"Dom ul. Niepodległości, Miejska Górka",8 pokoi,"252,44 m²",działka 749 m²,"324 877,50 zł","Miejska Górka, rawicki, wielkopolskie",Miejska Górka,wielkopolskie
44,"Mieszkanie ul. Zwycięzców, Warszawa",4 pokoje,"145,39 m²",,"1 170 680,25 zł","Warszawa, Praga-Południe",Warszawa,Praga-Południe
45,"Dom ul. Grabskiego, Bochnia",6 pokoi,"223,05 m²",działka 968 m²,481 500 zł,"Bochnia, bocheński, małopolskie",Bochnia,małopolskie
46,"Lokal użytkowy ul. Spółdzielcza, Żyrardów",,"53,70 m²",,155 250 zł,"Żyrardów, żyrardowski, mazowieckie",Żyrardów,mazowieckie
47,"Budynek kolonijno-wczasowy, 58-512 Kopaniec",>10 pokoi,1 203 m²,działka 6 600 m²,"237 547,50 zł","Kopaniec, jeleniogórski, dolnośląskie",Kopaniec,dolnośląskie
48,"Mieszkanie ul. Turystyczna, Jastrzębie-Zdrój",4 pokoje,"62,60 m²",,114 075 zł,"Jastrzębie-Zdrój, śląskie",Jastrzębie-Zdrój,śląskie
49,"udział w domu Ryżki, gm. Łuków",5 pokoi,120 m²,działka 2 500 m²,"167 692,13 zł","Ryżki, łukowski, lubelskie",Ryżki,lubelskie
50,"Dom 63-500 Ostrzeszów, Szklarka Przygodzicka",5 pokoi,"143,37 m²",działka 4 800 m²,405 825 zł,"Szklarka Przygodzicka, ostrzeszowski, wielkopolskie",Szklarka Przygodzicka,wielkopolskie
51,Mieszkanie w Ornecie przy ul. 1-go Maja,2 pokoje,"57,30 m²",,105 000 zł,"Orneta, lidzbarski, warmińsko-mazurskie",Orneta,warmińsko-mazurskie
52,Dwa budynki mieszkalne 07-416Przystań,6 pokoi,170 m²,działka 3 050 m²,378 225 zł,"Przystań, ostrołęcki, mazowieckie",Przystań,mazowieckie
53,"Działka Topolowa Czuchów, Czerwionka-Leszczyny",,,677 m²,"30 866,67 zł","Czerwionka-Leszczyny, rybnicki, śląskie",Czerwionka-Leszczyny,śląskie
54,"Dom przy ul.Szosa Stargardzka , 70-893 Szczecin",6 pokoi,"155,79 m²",działka 1 588 m²,"484 333,33 zł","Szczecin, zachodniopomorskie",Szczecin,zachodniopomorskie
55,Dom w Częstochowie ul. Cegielniana,5 pokoi,"272,60 m²",działka 1 929 m²,436 968 zł,"Częstochowa, śląskie",Częstochowa,śląskie
56,"Dom 16-150 Suchowola, Dryga",5 pokoi,120 m²,działka 2 500 m²,223 410 zł,"Dryga, sokólski, podlaskie",Dryga,podlaskie
57,"Dom 05-830 Nadarzyn, ul. Żurawia ,Szamoty",5 pokoi,155 m²,działka 1 110 m²,"302 611,50 zł","Szamoty, pruszkowski, mazowieckie",Szamoty,mazowieckie
58,"Dom w zabudowie bliźniaczej, Babki , gmina Gołdap",4 pokoje,"92,20 m²",działka 833 m²,80 000 zł,"Babki, gołdapski, warmińsko-mazurskie",Babki,warmińsko-mazurskie
59,"Dom 09-402 Płock, Dziedziniec",6 pokoi,"565,30 m²",działka 2 149 m²,1 866 750 zł,"Płock, mazowieckie",Płock,mazowieckie
60,Nieruchomość zabudowana Rzeszów ul.Warszawska,6 pokoi,150 m²,działka 4 460 m²,"552 459,38 zł","Rzeszów, podkarpackie",Rzeszów,podkarpackie
61,Mieszkanie w Grębocicach przy ul. Kolejowej,6 pokoi,237 m²,,"113 333,33 zł","Grębocice, polkowicki, dolnośląskie",Grębocice,dolnośląskie
62,"Dom 83-331 Niestępowo, ul. Do Zdroju",5 pokoi,"159,66 m²",działka 1 612 m²,532 800 zł,"Niestępowo, kartuski, pomorskie",Niestępowo,pomorskie
63,"Dom, 36-068 Laskówka",3 pokoje,"69,92 m²",działka 4 900 m²,"61 351,50 zł","Laskówka, rzeszowski, podkarpackie",Laskówka,podkarpackie
64,"Mieszkanie Os. Parkowe, Czarnków",3 pokoje,48 m²,,141 000 zł,"Czarnków, czarnkowsko-trzcianecki, wielkopolskie",Czarnków,wielkopolskie
65,"Dom ul. św. Barbary, 28-300 Jędrzejów",5 pokoi,"127,90 m²",działka 472 m²,"292 012,50 zł","Jędrzejów, jędrzejowski, świętokrzyskie",Jędrzejów,świętokrzyskie
66,"Mieszkanie ul. Wołyńska, Chełm",2 pokoje,"36,60 m²",,"129 308,25 zł","Chełm, lubelskie",Chełm,lubelskie
67,"udział mieszkanie ul. Siemieńskiego, Warszawa",3 pokoje,"44,25 m²",,"189 146,25 zł","Warszawa, Ochota",Warszawa,Ochota
68,"Dom, 66-460 Mościce",4 pokoje,"135,60 m²",działka 1 448 m²,169 050 zł,"Mościce, gorzowski, lubuskie",Mościce,lubuskie
69,"Dom, 22-420 Dębowiec",4 pokoje,150 m²,działka 4 900 m²,165 600 zł,"Skierbieszów, zamojski, lubelskie",Skierbieszów,lubelskie
70,"Dom, 66-431 Wawrów os. Bermudy",5 pokoi,"187,48 m²",działka 766 m²,554 250 zł,"Wawrów, gorzowski, lubuskie",Wawrów,lubuskie
71,"Dom, 59-620 Ubocze",5 pokoi,"222,80 m²",działka 1 700 m²,435 555 zł,"Ubocze, lwówecki, dolnośląskie",Ubocze,dolnośląskie
72,"Dom, 88-300 Stawiska",6 pokoi,"144,70 m²",działka 1 129 m²,355 500 zł,"Stawiska, mogileński, kujawsko-pomorskie",Stawiska,kujawsko-pomorskie
73,"Dom ul. Malinowa, Kraków",7 pokoi,"237,89 m²",działka 453 m²,"740 297,25 zł","Kraków, Prądnik Biały",Kraków,Prądnik Biały
74,"Dom, 97-216 Lipie",2 pokoje,"49,24 m²",działka 9 185 m²,52 089 zł,"Czerniewice, tomaszowski, łódzkie",Czerniewice,łódzkie
75,"Dom, 32-300 Troks",5 pokoi,"150,54 m²",działka 36 712 m²,"239 816,25 zł","Troks, olkuski, małopolskie",Troks,małopolskie
76,"Mieszkanie ul. Hieroglif, Warszawa",5 pokoi,"153,53 m²",,995 250 zł,"Warszawa, Bielany",Warszawa,Bielany
77,"Mieszkanie ul. Nadziei, Boguszów-Gorce",2 pokoje,"42,09 m²",,61 725 zł,"Boguszów-Gorce, wałbrzyski, dolnośląskie",Boguszów-Gorce,dolnośląskie
78,Dom w miejscowości Jaworze ul. Tulipanowa,6 pokoi,"344,64 m²",działka 1 776 m²,"639 455,33 zł","Jaworze, bielski, śląskie",Jaworze,śląskie
79,Mieszkanie 84-250 Strzebielinek,3 pokoje,"53,10 m²",,68 250 zł,"Strzebielinko, wejherowski, pomorskie",Strzebielinko,pomorskie
80,Lokal użytkowy Strzelin,,"238,28 m²",,58 200 zł,"Strzelin, strzeliński, dolnośląskie",Strzelin,dolnośląskie
81,Dom Stryszawa 34-205,4 pokoje,100 m²,działka 1 776 m²,"168 423,75 zł","Stryszawa, suski, małopolskie",Stryszawa,małopolskie
82,"Dom 22-420 Skierbieszów, Dębowiec",3 pokoje,100 m²,działka 5 000 m²,71 250 zł,"Skierbieszów, zamojski, lubelskie",Skierbieszów,lubelskie
83,"Dom Biała Podlaska, ul. Wesoła 1/2 Udziału",3 pokoje,100 m²,działka 1 208 m²,"107 471,25 zł","Biała Podlaska, lubelskie",Biała Podlaska,lubelskie
84,Dom w Poznaniu przy ul. Longinusa Podbipięty,5 pokoi,"200,32 m²",działka 279 m²,509 760 zł,"Poznań, Grunwald, Junikowo",Poznań,Junikowo
85,"Mieszkanie 82-300 Elbląg, Grunwaldzka",3 pokoje,"50,60 m²",,101 250 zł,"Elbląg, warmińsko-mazurskie",Elbląg,warmińsko-mazurskie
86,Mieszkanie Grodzisk Mazowiecki ul .M. Kopernika,2 pokoje,48 m²,,209 850 zł,"Grodzisk Mazowiecki, grodziski, mazowieckie",Grodzisk Mazowiecki,mazowieckie
87,Dom 38-456 Łęki Dukielskie,5 pokoi,150 m²,działka 3 100 m²,200 100 zł,"Łęki Dukielskie, krośnieński, podkarpackie",Łęki Dukielskie,podkarpackie
88,"Mieszkanie 11-600 Węgorzewo, ul. Mała",2 pokoje,"30,67 m²",,"99 187,50 zł","Węgorzewo, węgorzewski, warmińsko-mazurskie",Węgorzewo,warmińsko-mazurskie
89,"Dom ul. Wiejska , 22-200 Włodawa",5 pokoi,238 m²,działka 2 156 m²,259 350 zł,"Włodawa, włodawski, lubelskie",Włodawa,lubelskie
90,Dom Brenno przy ulicy Powstańców Wielkopolskich,5 pokoi,150 m²,działka 1 700 m²,304 125 zł,"Brenno, leszczyński, wielkopolskie",Brenno,wielkopolskie
91,"Dom z zabudowaniami 27-100 Iłża, ul. Błazińska",5 pokoi,150 m²,działka 2 648 m²,225 336 zł,"Iłża, radomski, mazowieckie",Iłża,mazowieckie
92,Dom z zabudowaniami w Kutnie przy ul. Konarskiego,5 pokoi,180 m²,działka 553 m²,346 500 zł,"Kutno, kutnowski, łódzkie",Kutno,łódzkie
93,Działka ul. Tetmajera 39-200 Dębica,,,3 582 m²,"130 432,67 zł","Dębica, dębicki, podkarpackie",Dębica,podkarpackie
94,"Dom nad jeziorem , 88-320 Ostrowo",2 pokoje,"135,55 m²",działka 740 m²,148 500 zł,"Ostrowo, mogileński, kujawsko-pomorskie",Ostrowo,kujawsko-pomorskie
95,Mieszkanie 64-200 Błocko,1 pokój,"36,07 m²",,52 800 zł,"Błocko, wolsztyński, wielkopolskie",Błocko,wielkopolskie
96,Dom 37-500 Pawłosiów,6 pokoi,156 m²,działka 1 188 m²,"412 266,67 zł","Pawłosiów, jarosławski, podkarpackie",Pawłosiów,podkarpackie
97,"Mieszkanie Bolesławiec, ul. Zagłoby",4 pokoje,"86,60 m²",,171 750 zł,"Bolesławiec, bolesławiecki, dolnośląskie",Bolesławiec,dolnośląskie
98,"Działka Berest, 33-380 Krynica-Zdrój",,,7 000 m²,"31 076,50 zł","Berest, nowosądecki, małopolskie",Berest,małopolskie
99,"Dom - pensjonat ul. Łąkowa, Kolno",,"581,55 m²",,796 614 zł,"Kolno, kolneński, podlaskie",Kolno,podlaskie
100,"Działka, 21-210 Czeberaki",,,4 900 m²,"11 473,33 zł","Czeberaki, parczewski, lubelskie",Czeberaki,lubelskie
101,Dom ul. Łączna 05-205 Michałów,10 pokoi,"168,30 m²",działka 3 514 m²,441 450 zł,"Michałów, wołomiński, mazowieckie",Michałów,mazowieckie
102,"Dom w Czeladzi, przy ulicy Pułaskiego",5 pokoi,"190,30 m²",działka 210 m²,514 500 zł,"Czeladź, będziński, śląskie",Czeladź,śląskie
103,Mieszkanie ul. Koszarowa 14-240 Susz,2 pokoje,60 m²,,105 242 zł,"Susz, iławski, warmińsko-mazurskie",Susz,warmińsko-mazurskie
104,"Zabudowa gospodarcza Iwiny, Raciborowice",,750 m²,,"126 666,67 zł","Iwiny, bolesławiecki, dolnośląskie",Iwiny,dolnośląskie
105,Dom ul. Chłopickiego M. Jaworzno,3 pokoje,"84,06 m²",działka 1 817 m²,"182 666,67 zł","Jaworzno, śląskie",Jaworzno,śląskie
106,Mieszkanie ul. Cementowa Kalisz,3 pokoje,"76,37 m²",,114 000 zł,"Kalisz, wielkopolskie",Kalisz,wielkopolskie
