,title,rooms,building_area,land_area,price,location,City,District
0,"Działka Ubocze, 59-620 Gryfów Śląski",,,7 800 m²,86 840 zł,"Ubocze, lwówecki, dolnośląskie",Ubocze,dolnośląskie
1,"Dom, 34-106 Świnna Poręba - udział 1/2",5 pokoi,135 m²,działka 2 595 m²,"122 333,33 zł","Świnna Poręba, wadowicki, małopolskie",Świnna Poręba,małopolskie
2,Mieszkanie al. Broni 11-300 Biskupiec - udział 1/2,2 pokoje,"59,80 m²",,"60 734,25 zł","Biskupiec, olsztyński, warmińsko-mazurskie",Biskupiec,warmińsko-mazurskie
3,"Dom, 34-130 Zebrzydowice",5 pokoi,"175,65 m²",działka 7 409 m²,606 750 zł,"Zebrzydowice, wadowicki, małopolskie",Zebrzydowice,małopolskie
4,Mieszkanie przy ul. Kazimierza Tumidajskiego,3 pokoje,"61,70 m²",,255 150 zł,"Lublin, Kalinowszczyzna",Lublin,Kalinowszczyzna
5,"Działka 72-130 Maszewo, Mokre",,,3 000 m²,6 150 zł,"Mokre, koszaliński, zachodniopomorskie",Mokre,zachodniopomorskie
6,"Dom ul. Warszawska, 05-600 Głuchów",3 pokoje,75 m²,działka 2 600 m²,180 000 zł,"Głuchów, grójecki, mazowieckie",Głuchów,mazowieckie
7,Dom 20-388 Żabia Wola,4 pokoje,119 m²,działka 2 000 m²,292 800 zł,"Żabia Wola, lubelski, lubelskie",Żabia Wola,lubelskie
8,"Dom w miejscowości Zaleskie, gmina Sejny",4 pokoje,"79,16 m²",działka 500 m²,78 864 zł,"Zaleskie, sejneński, podlaskie",Zaleskie,podlaskie
9,"Mieszkanie, 06-100 Płocochowo",3 pokoje,"68,60 m²",,76 275 zł,"Płocochowo, pułtuski, mazowieckie",Płocochowo,mazowieckie
10,Dom ul. Kościuszki 42-584 Dobieszowice,5 pokoi,"251,15 m²",działka 1 015 m²,128 250 zł,"Dobieszowice, będziński, śląskie",Dobieszowice,śląskie
11,"Dom w Łodygowice, przy ul. B.Prusa",4 pokoje,100 m²,działka 500 m²,112 600 zł,"Łodygowice, żywiecki, śląskie",Łodygowice,śląskie
12,"Mieszkanie ul. Pana Tadeusza, Pułtusk",4 pokoje,"73,70 m²",,154 950 zł,"Pułtusk, pułtuski, mazowieckie",Pułtusk,mazowieckie
13,"Gospodarstwo rolne z zabudowaniami, 49-318 Lipki",4 pokoje,97 m²,działka 4 455 m²,184 350 zł,"Lipki, brzeski, opolskie",Lipki,opolskie
14,Mieszkanie przy ul. Bonerowskiej 3 w Krakowie,2 pokoje,23 m²,,102 000 zł,"Kraków, Stare Miasto",Kraków,Stare Miasto
15,"Mieszkanie, 38-306 Libusza",2 pokoje,"65,20 m²",,"88 807,50 zł","Libusza, gorlicki, małopolskie",Libusza,małopolskie
16,budynek mieszkalno- usługowy Polna w Mysłakowicach,8 pokoi,"277,76 m²",działka 908 m²,657 000 zł,"Mysłakowice, jeleniogórski, dolnośląskie",Mysłakowice,dolnośląskie
17,"Dom, 72-130 Mokre",5 pokoi,"199,50 m²",działka 2 385 m²,377 250 zł,"Maszewo, goleniowski, zachodniopomorskie",Maszewo,zachodniopomorskie
18,"Dom, Bolechowo gm. Goleniów",4 pokoje,"220,18 m²",działka 1 304 m²,168 800 zł,"Bolechowo, goleniowski, zachodniopomorskie",Bolechowo,zachodniopomorskie
19,"3 działki, 72-130 Maszewo",,,13 800 m²,88 425 zł,"Maszewo, goleniowski, zachodniopomorskie",Maszewo,zachodniopomorskie
20,Mieszkanie 06-120 Zbroszki,3 pokoje,"66,50 m²",,"72 865,50 zł","Zbroszki, pułtuski, mazowieckie",Zbroszki,mazowieckie
21,"Mieszkanie ul. Piotra Skargi, Jelenia Góra",4 pokoje,"70,10 m²",,87 000 zł,"Jelenia Góra, dolnośląskie",Jelenia Góra,dolnośląskie
22,"Dom Piła, Aleja. Lipowa",5 pokoi,220 m²,działka 606 m²,313 575 zł,"Piła, pilski, wielkopolskie",Piła,wielkopolskie
23,"Dom ul. Strażacka, 05-300 Janów",8 pokoi,"226,56 m²",działka 695 m²,291 750 zł,"Janów, miński, mazowieckie",Janów,mazowieckie
