,title,rooms,building_area,land_area,price,location,City,District
0,"Dom dwurodzinnym, Połomia ul. Szkolna",5 pokoi,"236,60 m²",działka 1 087 m²,"252 833,33 zł","Połomia, wodzisławski, śląskie",Połomia,śląskie
1,"Dom Blachownia, ul. Bukowa",4 pokoje,120 m²,działka 678 m²,"291 333,33 zł","Blachownia, częstochowski, śląskie",Blachownia,śląskie
2,"Mieszkanie 02-495 Warszawa, ul. Rakuszanki",2 pokoje,"51,10 m²",,285 750 zł,"Warszawa, Ursus",Warszawa,Ursus
3,"Dom ,Trzcianka, ul. Mickiewicza",4 pokoje,120 m²,działka 1 384 m²,260 700 zł,"Trzcianka, czarnkowsko-trzcianecki, wielkopolskie",Trzcianka,wielkopolskie
4,"Dom ul. Jana Pawła II, 30-444 Libertów",3 pokoje,134 m²,działka 216 m²,"180 466,67 zł","Libertów, krakowski, małopolskie",Libertów,małopolskie
5,"Dom 64-610 Rogoźno, Kochanowskiego",5 pokoi,"160,99 m²",działka 215 m²,214 725 zł,"Rogoźno, obornicki, wielkopolskie",Rogoźno,wielkopolskie
6,Dom w zabudowie bliźniaczej 88-321 Kwieciszewo,3 pokoje,"89,64 m²",działka 1 315 m²,"105 333,33 zł","Kwieciszewo, mogileński, kujawsko-pomorskie",Kwieciszewo,kujawsko-pomorskie
7,"Mieszkanie ul. Słowiańska , 72-510 Wolin",3 pokoje,"124,84 m²",,158 475 zł,"Wolin, kamieński, zachodniopomorskie",Wolin,zachodniopomorskie
8,Mieszkanie Jastrzębie-Zdrój przy ul. Turystycznej,4 pokoje,"62,60 m²",,114 075 zł,"Jastrzębie-Zdrój, śląskie",Jastrzębie-Zdrój,śląskie
9,"Działka Berest, 33-380 Krynica-Zdrój",,,7 000 m²,"46 614,75 zł","Berest, nowosądecki, małopolskie",Berest,małopolskie
10,"Dom Kościernica-Mirotki , 76-010 Polanów",5 pokoi,200 m²,działka 2 035 m²,325 600 zł,"Mirotki, koszaliński, zachodniopomorskie",Mirotki,zachodniopomorskie
11,"Dom przy Krupińskiego , 44-313 Wodzisław Śląski",5 pokoi,144 m²,działka 1 484 m²,192 000 zł,"Wodzisław Śląski, wodzisławski, śląskie",Wodzisław Śląski,śląskie
12,"Dom i budynek gospodarczy, 87-700 Podgaj",3 pokoje,"63,30 m²",działka 3 800 m²,109 500 zł,"Podgaj, aleksandrowski, kujawsko-pomorskie",Podgaj,kujawsko-pomorskie
13,"Dom ul. Tysiąclecia, Dzietrzkowice gm. Łubnice",5 pokoi,"239,53 m²",działka 1 200 m²,127 125 zł,"Łubnice, wieruszowski, łódzkie",Łubnice,łódzkie
14,"Dom - pensjonat ul. Łąkowa, Kolno",,25 500 m²,,896 190 zł,"Kolno, kolneński, podlaskie",Kolno,podlaskie
15,"Dom ul. Azaliowa, Zbylitowska Góra",3 pokoje,"185,90 m²",działka 1 029 m²,453 606 zł,"Zbylitowska Góra, tarnowski, małopolskie",Zbylitowska Góra,małopolskie
16,"Działki na jeziorem, Sypniewo gm. Margonin",,,33 397 m²,234 945 zł,"Margonin, chodzieski, wielkopolskie",Margonin,wielkopolskie
17,"Mieszkanie ul. Garncarska, Kamień Pomorski",2 pokoje,"42,78 m²",,102 150 zł,"Kamień Pomorski, kamieński, zachodniopomorskie",Kamień Pomorski,zachodniopomorskie
18,"Dom, 82-103 Rybina",4 pokoje,"153,10 m²",działka 518 m²,507 525 zł,"Rybina, nowodworski, pomorskie",Rybina,pomorskie
19,Budynki użytkowe 66-433 Marwice,,"884,20 m²",,777 800 zł,"Marwice, gorzowski, lubuskie",Marwice,lubuskie
20,"Mieszkanie al. Niepodległości, Sopot",3 pokoje,"85,90 m²",,716 850 zł,"Sopot, pomorskie",Sopot,pomorskie
21,Mieszkanie Krosno Odrzańskie ul. Kościelna,2 pokoje,58 m²,,"76 266,67 zł","Krosno Odrzańskie, krośnieński, lubuskie",Krosno Odrzańskie,lubuskie
22,"Dom ul. Wrzesińska ,Zasutowo",5 pokoi,"271,38 m²",działka 5 096 m²,"461 693,33 zł","Zasutowo, wrzesiński, wielkopolskie",Zasutowo,wielkopolskie
23,"Dom stan surowy zamknięty Bronowo ,gm.Stegna",5 pokoi,"349,10 m²",działka 20 438 m²,256 125 zł,"Bronowo, nowodworski, pomorskie",Bronowo,pomorskie
24,"Dom 84-217 Łebno, Strażacka",4 pokoje,"72,20 m²",działka 800 m²,75 000 zł,"Łebno, wejherowski, pomorskie",Łebno,pomorskie
