,title,rooms,building_area,land_area,price,location,City,District
0,"Dom ul. Jana Pawła II, 30-444 Libertów",3 pokoje,134 m²,działka 216 m²,"180 466,67 zł","Libertów, krakowski, małopolskie",Libertów,małopolskie
1,"Dom 64-610 Rogoźno, Kochanowskiego",5 pokoi,"160,99 m²",działka 215 m²,214 725 zł,"Rogoźno, obornicki, wielkopolskie",Rogoźno,wielkopolskie
2,Dom w zabudowie bliźniaczej 88-321 Kwieciszewo,3 pokoje,"89,64 m²",działka 1 315 m²,"105 333,33 zł","Kwieciszewo, mogileński, kujawsko-pomorskie",Kwieciszewo,kujawsko-pomorskie
3,"Dom Potulickich , 05-510 Konstancin Jeziorna",7 pokoi,243 m²,działka 1 989 m²,2 998 500 zł,"Konstancin-Jeziorna, piaseczyński, mazowieckie",Konstancin-Jeziorna,mazowieckie
4,"Mieszkanie ul. Słowiańska , 72-510 Wolin",3 pokoje,"124,84 m²",,158 475 zł,"Wolin, kamieński, zachodniopomorskie",Wolin,zachodniopomorskie
5,Mieszkanie Jastrzębie-Zdrój przy ul. Turystycznej,4 pokoje,"62,60 m²",,114 075 zł,"Jastrzębie-Zdrój, śląskie",Jastrzębie-Zdrój,śląskie
6,"Działka Berest, 33-380 Krynica-Zdrój",,,7 000 m²,"46 614,75 zł","Berest, nowosądecki, małopolskie",Berest,małopolskie
7,"Dom Kościernica-Mirotki , 76-010 Polanów",5 pokoi,200 m²,działka 2 035 m²,325 600 zł,"Mirotki, koszaliński, zachodniopomorskie",Mirotki,zachodniopomorskie
8,"Dom przy Krupińskiego , 44-313 Wodzisław Śląski",5 pokoi,144 m²,działka 1 484 m²,192 000 zł,"Wodzisław Śląski, wodzisławski, śląskie",Wodzisław Śląski,śląskie
9,"Dom i budynek gospodarczy, 87-700 Podgaj",3 pokoje,"63,30 m²",działka 3 800 m²,109 500 zł,"Podgaj, aleksandrowski, kujawsko-pomorskie",Podgaj,kujawsko-pomorskie
10,"Dom ul. Tysiąclecia, Dzietrzkowice gm. Łubnice",5 pokoi,"239,53 m²",działka 1 200 m²,127 125 zł,"Łubnice, wieruszowski, łódzkie",Łubnice,łódzkie
11,"Dom - pensjonat ul. Łąkowa, Kolno",,25 500 m²,,896 190 zł,"Kolno, kolneński, podlaskie",Kolno,podlaskie
12,"Dom ul. Azaliowa, Zbylitowska Góra",3 pokoje,"185,90 m²",działka 1 029 m²,453 606 zł,"Zbylitowska Góra, tarnowski, małopolskie",Zbylitowska Góra,małopolskie
13,"Działki na jeziorem, Sypniewo gm. Margonin",,,33 397 m²,234 945 zł,"Margonin, chodzieski, wielkopolskie",Margonin,wielkopolskie
14,"Mieszkanie ul. Garncarska, Kamień Pomorski",2 pokoje,"42,78 m²",,102 150 zł,"Kamień Pomorski, kamieński, zachodniopomorskie",Kamień Pomorski,zachodniopomorskie
15,"Dom, 82-103 Rybina",4 pokoje,"153,10 m²",działka 518 m²,507 525 zł,"Rybina, nowodworski, pomorskie",Rybina,pomorskie
16,Budynki użytkowe 66-433 Marwice,,"884,20 m²",,777 800 zł,"Marwice, gorzowski, lubuskie",Marwice,lubuskie
17,"Mieszkanie al. Niepodległości, Sopot",3 pokoje,"85,90 m²",,716 850 zł,"Sopot, pomorskie",Sopot,pomorskie
18,Mieszkanie Krosno Odrzańskie ul. Kościelna,2 pokoje,58 m²,,"76 266,67 zł","Krosno Odrzańskie, krośnieński, lubuskie",Krosno Odrzańskie,lubuskie
19,"Dom ul. Wrzesińska ,Zasutowo",5 pokoi,"271,38 m²",działka 5 096 m²,"461 693,33 zł","Zasutowo, wrzesiński, wielkopolskie",Zasutowo,wielkopolskie
20,"Dom stan surowy zamknięty Bronowo ,gm.Stegna",5 pokoi,"349,10 m²",działka 20 438 m²,256 125 zł,"Bronowo, nowodworski, pomorskie",Bronowo,pomorskie
21,"Dom 84-217 Łebno, Strażacka",4 pokoje,"72,20 m²",działka 800 m²,75 000 zł,"Łebno, wejherowski, pomorskie",Łebno,pomorskie
22,"Mieszkanie Białaczów, ul.Piotrkowska",2 pokoje,"51,60 m²",,"83 466,67 zł","Białaczów, opoczyński, łódzkie",Białaczów,łódzkie
23,Mieszkanie w Boguszowie-Gorcach ul. Krakowska,2 pokoje,"41,01 m²",,36 750 zł,"Boguszów-Gorce, wałbrzyski, dolnośląskie",Boguszów-Gorce,dolnośląskie
24,"Dom 95-020 Janówka, ul. Rybna",3 pokoje,"66,80 m²",działka 507 m²,"114 187,50 zł","Janówka, łódzki wschodni, łódzkie",Janówka,łódzkie
