,title,rooms,building_area,land_area,price,location,City,District
0,"Dom i budynek gospodarczy, 87-700 Podgaj",3 pokoje,"63,30 m²",działka 3 800 m²,109 500 zł,"Podgaj, aleksandrowski, kujawsko-pomorskie",Podgaj,kujawsko-pomorskie
1,"Dom ul. Tysiąclecia, Dzietrzkowice gm. Łubnice",5 pokoi,"239,53 m²",działka 1 200 m²,127 125 zł,"Łubnice, wieruszowski, łódzkie",Łubnice,łódzkie
2,"Dom - pensjonat ul. Łąkowa, Kolno",,25 500 m²,,896 190 zł,"Kolno, kolneński, podlaskie",Kolno,podlaskie
3,"Dom ul. Azaliowa, Zbylitowska Góra",3 pokoje,"185,90 m²",działka 1 029 m²,453 606 zł,"Zbylitowska Góra, tarnowski, małopolskie",Zbylitowska Góra,małopolskie
4,"Działki na jeziorem, Sypniewo gm. Margonin",,,33 397 m²,234 945 zł,"Margonin, chodzieski, wielkopolskie",Margonin,wielkopolskie
5,"Mieszkanie ul. Garncarska, Kamień Pomorski",2 pokoje,"42,78 m²",,102 150 zł,"Kamień Pomorski, kamieński, zachodniopomorskie",Kamień Pomorski,zachodniopomorskie
6,"Dom, 82-103 Rybina",4 pokoje,"153,10 m²",działka 518 m²,507 525 zł,"Rybina, nowodworski, pomorskie",Rybina,pomorskie
7,"Działka, 59-150 Grębocice",,,1 500 m²,50 985 zł,"Grębocice, polkowicki, dolnośląskie",Grębocice,dolnośląskie
8,Budynki użytkowe 66-433 Marwice,,"884,20 m²",,777 800 zł,"Marwice, gorzowski, lubuskie",Marwice,lubuskie
9,"Mieszkanie ul. Hutnicza, Świętochłowice",2 pokoje,"69,14 m²",,63 750 zł,"Świętochłowice, śląskie",Świętochłowice,śląskie
10,"Mieszkanie al. Niepodległości, Sopot",3 pokoje,"85,90 m²",,716 850 zł,"Sopot, pomorskie",Sopot,pomorskie
11,Mieszkanie Krosno Odrzańskie ul. Kościelna,2 pokoje,58 m²,,"76 266,67 zł","Krosno Odrzańskie, krośnieński, lubuskie",Krosno Odrzańskie,lubuskie
12,"Dom ul. Wrzesińska ,Zasutowo",5 pokoi,"271,38 m²",działka 5 096 m²,"461 693,33 zł","Zasutowo, wrzesiński, wielkopolskie",Zasutowo,wielkopolskie
13,"Dom stan surowy zamknięty Bronowo ,gm.Stegna",5 pokoi,"349,10 m²",działka 20 438 m²,256 125 zł,"Bronowo, nowodworski, pomorskie",Bronowo,pomorskie
14,"Dom 84-217 Łebno, Strażacka",4 pokoje,"72,20 m²",działka 800 m²,75 000 zł,"Łebno, wejherowski, pomorskie",Łebno,pomorskie
15,"Mieszkanie Białaczów, ul.Piotrkowska",2 pokoje,"51,60 m²",,"83 466,67 zł","Białaczów, opoczyński, łódzkie",Białaczów,łódzkie
16,Mieszkanie w Boguszowie-Gorcach ul. Krakowska,2 pokoje,"41,01 m²",,36 750 zł,"Boguszów-Gorce, wałbrzyski, dolnośląskie",Boguszów-Gorce,dolnośląskie
17,"Dom 95-020 Janówka, ul. Rybna",3 pokoje,"66,80 m²",działka 507 m²,"114 187,50 zł","Janówka, łódzki wschodni, łódzkie",Janówka,łódzkie
18,"Budynki Użytkowe Iwiny ,gmina Warta Bolesławiecka",,750 m²,,142 500 zł,"Iwiny, bolesławiecki, dolnośląskie",Iwiny,dolnośląskie
19,"Dom 84-207 Koleczkowo, Przemysłowa",5 pokoi,150 m²,działka 4 900 m²,680 250 zł,"Koleczkowo, wejherowski, pomorskie",Koleczkowo,pomorskie
20,"Dom ul. Imbirowa , Henryków-Urocze",5 pokoi,328 m²,działka 3 000 m²,484 575 zł,"Henryków-Urocze, piaseczyński, mazowieckie",Henryków-Urocze,mazowieckie
21,"Dom Ubocze, 59-620 Gryfów Śląski",3 pokoje,100 m²,działka 1 700 m²,97 695 zł,"Ubocze, lwówecki, dolnośląskie",Ubocze,dolnośląskie
22,"Działka gruntu rolnego, Kuczbork-Osada",,,34 122 m²,"97 747,50 zł","Kuczbork-Osada, żuromiński, mazowieckie",Kuczbork-Osada,mazowieckie
23,"Dom 55-095 Długołęka, Stępin",4 pokoje,"143,40 m²",działka 1 200 m²,"230 903,25 zł","Stępin, wrocławski, dolnośląskie",Stępin,dolnośląskie
24,"Dom 98-220 Zduńska Wola, ul. Widawska",3 pokoje,"112,90 m²",działka 4 664 m²,147 900 zł,"Zduńska Wola, zduńskowolski, łódzkie",Zduńska Wola,łódzkie
