,title,rooms,building_area,land_area,price,location,City,District
0,Dom w zabudowie szeregowej w Poznaniu,5 pokoi,"200,32 m²",działka 279 m²,453 120 zł,"Poznań, Grunwald, Junikowo",Poznań,Junikowo
1,Parterowy dom w miejscowości Rogoźnik,4 pokoje,80 m²,działka 835 m²,262 500 zł,"Rogoźnik, będziński, śląskie",Rogoźnik,śląskie
2,Mieszkanie w Kamiennej Góra,4 pokoje,77 m²,,177 750 zł,"Kamienna Góra, kamiennogórski, dolnośląskie",Kamienna Góra,dolnośląskie
3,Mieszkanie w miejscowości Woźnice,3 pokoje,"60,07 m²",,"53 333,33 zł","Woźnice, mrągowski, warmińsko-mazurskie",Woźnice,warmińsko-mazurskie
4,Nieruchomość gruntowa Debrzno,,18 600 m²,,"116 043,80 zł","Debrzno, człuchowski, pomorskie",Debrzno,pomorskie
5,Dom w miejscowości Teodorów,4 pokoje,"61,75 m²",działka 6 000 m²,109 500 zł,"Teodorów, zwoleński, mazowieckie",Teodorów,mazowieckie
6,Dom z gruntem w miejscowości Troks,5 pokoi,"150,54 m²",działka 36 000 m²,213 170 zł,"Troks, olkuski, małopolskie",Troks,małopolskie
7,"Dom, 38-471 Łączki Jagiellońskie",5 pokoi,"197,35 m²",działka 4 920 m²,455 625 zł,"Łączki Jagiellońskie, krośnieński, podkarpackie",Łączki Jagiellońskie,podkarpackie
8,"Lokal mieszkalny w Koziegłowach, ul. Poznańska",3 pokoje,"66,94 m²",,183 390 zł,"Koziegłowy, poznański, wielkopolskie",Koziegłowy,wielkopolskie
9,"Dom nad morzem ul. Tęczowa, Gdańsk",5 pokoi,"191,85 m²",działka 1 570 m²,545 250 zł,"Gdańsk, Wyspa Sobieszewska",Gdańsk,Wyspa Sobieszewska
10,"Dom w Poznaniu ,udział 5/8",4 pokoje,120 m²,działka 700 m²,218 325 zł,"Poznań, Grunwald, Świerczewo",Poznań,Świerczewo
11,"Dom ul. Reja, Radomsko",7 pokoi,"171,40 m²",działka 4 257 m²,318 000 zł,"Radomsko, radomszczański, łódzkie",Radomsko,łódzkie
12,Lokal mieszkalny w Lubaniu,4 pokoje,"56,40 m²",,131 250 zł,"Lubań, lubański, dolnośląskie",Lubań,dolnośląskie
13,"Mieszkanie ul. Daszyńskiego, Zgorzelec",4 pokoje,"115,60 m²",,226 500 zł,"Zgorzelec, zgorzelecki, dolnośląskie",Zgorzelec,dolnośląskie
14,Działki w miejscowości Stare Budy,,,11 979 m²,"181 894,88 zł","Stare Budy Radziejowskie, żyrardowski, mazowieckie",Stare Budy Radziejowskie,mazowieckie
15,"Dom z budynkiem magazynowo-warsztatowym, Ostrowąsy",3 pokoje,"70,97 m²",działka 4 800 m²,234 069 zł,"Ostrowąsy, milicki, dolnośląskie",Ostrowąsy,dolnośląskie
16,"Dom ul. Spacerowa, 42-233 Grabowa",5 pokoi,"149,63 m²",działka 6 388 m²,239 325 zł,"Grabowa, częstochowski, śląskie",Grabowa,śląskie
17,Dom w Swarzędzu,4 pokoje,150 m²,działka 250 m²,"374 826,67 zł","Swarzędz, poznański, wielkopolskie",Swarzędz,wielkopolskie
18,Dom 22-400 Dębowiec,5 pokoi,140 m²,działka 4 900 m²,147 200 zł,"Skierbieszów, zamojski, lubelskie",Skierbieszów,lubelskie
19,Dom jednorodzinny w Żywcu,4 pokoje,89 m²,działka 500 m²,"173 333,33 zł","Żywiec, żywiecki, śląskie",Żywiec,śląskie
20,"Działka z budynkiem gospodarczym, 22-420 Dębowiec",,,3 100 m²,"30 937,50 zł","Skierbieszów, zamojski, lubelskie",Skierbieszów,lubelskie
21,"Dom , 22-420 Dębowiec",2 pokoje,100 m²,działka 5 000 m²,"63 333,33 zł","Skierbieszów, zamojski, lubelskie",Skierbieszów,lubelskie
22,"Dom wolnostojący, parterowy Szklarka Przygodzicka",5 pokoi,"143,37 m²",działka 4 800 m²,360 734 zł,"Szklarka Przygodzicka, ostrzeszowski, wielkopolskie",Szklarka Przygodzicka,wielkopolskie
23,"Budynek niemieszkalny ul. Koszalińska, Karlino",,397 m²,,126 450 zł,"Karlino, białogardzki, zachodniopomorskie",Karlino,zachodniopomorskie
24,"Mieszkanie ul. Różana, Kętrzyn",2 pokoje,"32,30 m²",,80 550 zł,"Kętrzyn, kętrzyński, warmińsko-mazurskie",Kętrzyn,warmińsko-mazurskie
25,Dom w zabudowie szeregowej w miejscowości Prabuty,5 pokoi,"311,80 m²",działka 597 m²,390 000 zł,"Prabuty, kwidzyński, pomorskie",Prabuty,pomorskie
26,Działki 05-250 Stary Dybów,,,61 312 m²,1 044 750 zł,"Stary Dybów, wołomiński, mazowieckie",Stary Dybów,mazowieckie
27,"Dom ul. Piłsudskiego, Hajnówka",4 pokoje,"116,05 m²",działka 525 m²,"314 878,50 zł","Hajnówka, hajnowski, podlaskie",Hajnówka,podlaskie
28,Dom 42-256 Kusięta,4 pokoje,"114,40 m²",działka 1 366 m²,293 250 zł,"Kusięta, częstochowski, śląskie",Kusięta,śląskie
29,"Dom ul. Górna, Sokółka",5 pokoi,"215,90 m²",działka 980 m²,"528 311,25 zł","Sokółka, sokólski, podlaskie",Sokółka,podlaskie
30,"Mieszkanie ul. Ogińskiego, Wałbrzych",2 pokoje,"47,70 m²",,101 025 zł,"Wałbrzych, dolnośląskie",Wałbrzych,dolnośląskie
31,"Dom ul. Dąbrowskiego, Tczew",5 pokoi,"79,12 m²",działka 295 m²,173 100 zł,"Tczew, tczewski, pomorskie",Tczew,pomorskie
32,"Dom ul Osiedlowa, Chmielów",4 pokoje,171 m²,działka 1 100 m²,156 150 zł,"Chmielów, ostrowiecki, świętokrzyskie",Chmielów,świętokrzyskie
33,"Dom ul. Wierzbowa, Sicienko",5 pokoi,"157,09 m²",działka 507 m²,309 750 zł,"Sicinek, wąbrzeski, kujawsko-pomorskie",Sicinek,kujawsko-pomorskie
34,Dom 68-200 Łukawy,2 pokoje,"53,20 m²",działka 1 800 m²,85 500 zł,"Żary, żarski, lubuskie",Żary,lubuskie
35,"Duży dom ul. Księżycowa, 05-120 Marynino",6 pokoi,"430,50 m²",działka 2 005 m²,1 091 250 zł,"Marynino, legionowski, mazowieckie",Marynino,mazowieckie
36,"Mieszkanie ul. Mielżyńskich, 64-122 Pawłowice",3 pokoje,"49,30 m²",,"99 676,50 zł","Pawłowice, leszczyński, wielkopolskie",Pawłowice,wielkopolskie
37,Dom 12-200 Szczechy Małe,4 pokoje,105 m²,działka 568 m²,"256 666,67 zł","Szczechy Małe, piski, warmińsko-mazurskie",Szczechy Małe,warmińsko-mazurskie
38,"Mieszkanie ul. Kolejowa, 78-445 Łubowo",3 pokoje,"58,22 m²",,62 250 zł,"Łubowo, szczecinecki, zachodniopomorskie",Łubowo,zachodniopomorskie
39,Mieszkanie 64-830 Próchnowo - udział 1/2,3 pokoje,"54,05 m²",,"35 062,50 zł","Próchnowo, chodzieski, wielkopolskie",Próchnowo,wielkopolskie
40,"Dom ul. Raczyńskiego, Zaniemyśl",7 pokoi,"233,92 m²",działka 798 m²,333 000 zł,"Zaniemyśl, średzki, wielkopolskie",Zaniemyśl,wielkopolskie
41,Budynek mieszkalno-usługowy ul. Miarki Głuchołazy,3 pokoje,"234,75 m²",działka 924 m²,205 875 zł,"Głuchołazy, nyski, opolskie",Głuchołazy,opolskie
42,"Działka budowlana, 87-148 Kamionki Małe",,,10 836 m²,141 750 zł,"Kamionki Małe, toruński, kujawsko-pomorskie",Kamionki Małe,kujawsko-pomorskie
43,"Mieszkanie ul. Kolejowa, Ropczyce",3 pokoje,"55,70 m²",,"101 545,50 zł","Ropczyce, ropczycko-sędziszowski, podkarpackie",Ropczyce,podkarpackie
44,Mieszkanie Piekary Śląskie ul. Heneczka,2 pokoje,"50,90 m²",,"78 937,50 zł","Piekary Śląskie, śląskie",Piekary Śląskie,śląskie
45,"Dom z budynkiem handlowo-usługowym, Jawiszowice",4 pokoje,"247,81 m²",działka 1 447 m²,"194 366,66 zł","Jawiszowice, oświęcimski, małopolskie",Jawiszowice,małopolskie
46,"Działki, 33-162 Lubcza",,,25 900 m²,"104 071,34 zł","Lubcza, tarnowski, małopolskie",Lubcza,małopolskie
47,"Dom ul. Browarnik, Dankowice",4 pokoje,108 m²,działka 1 774 m²,"190 666,66 zł","Dankowice, bielski, śląskie",Dankowice,śląskie
