,title,rooms,building_area,land_area,price,location,City,District
48,"Dom ,udział 1/2, Huta Błędowska",4 pokoje,"85,64 m²",działka 1 500 m²,"61 666,67 zł","Huta Błędowska, grójecki, mazowieckie",Huta Błędowska,mazowieckie
49,Mieszkanie 11-730 Woźnice,2 pokoje,"56,97 m²",,"68 733,33 zł","Woźnice, mrągowski, warmińsko-mazurskie",Woźnice,warmińsko-mazurskie
50,"Dom, 59-816 Włosień",5 pokoi,130 m²,działka 894 m²,"130 666,67 zł","Włosień, lubański, dolnośląskie",Włosień,dolnośląskie
51,"Dom 98-160 Sędziejowice, Leśna",5 pokoi,100 m²,działka 9 900 m²,"266 332,67 zł","Sędziejowice, łaski, łódzkie",Sędziejowice,łódzkie
52,Dom z zabudowaniami Mościce 66-460,5 pokoi,100 m²,działka 11 000 m²,"537 933,33 zł","Mościce, gorzowski, lubuskie",Mościce,lubuskie
53,"Dom w miejscowości Zaleskie, gmina Sejny",4 pokoje,"79,16 m²",działka 500 m²,"70 101,33 zł","Zaleskie, sejneński, podlaskie",Zaleskie,podlaskie
54,"Dom ul. św. Barbary, 28-300 Jędrzejów",5 pokoi,"127,90 m²",działka 472 m²,"292 012,50 zł","Jędrzejów, jędrzejowski, świętokrzyskie",Jędrzejów,świętokrzyskie
55,"Dom ul. Wiejska , 22-200 Włodawa",5 pokoi,238 m²,działka 2 156 m²,"375 333,33 zł","Włodawa, włodawski, lubelskie",Włodawa,lubelskie
56,Dom w miejscowości Ludwinowo,5 pokoi,"199,60 m²",działka 10 136 m²,"171 466,67 zł","Ludwinowo, włocławski, kujawsko-pomorskie",Ludwinowo,kujawsko-pomorskie
57,"Dom, Chrząstowice gm. Brzeźnica",4 pokoje,"168,10 m²",działka 8 567 m²,"362 666,67 zł","Chrząstowice, wadowicki, małopolskie",Chrząstowice,małopolskie
58,"Dom z działkami, Jabłoniowa, 44-321 Marklowice",5 pokoi,117 m²,działka 29 581 m²,245 766 zł,"Marklowice, wodzisławski, śląskie",Marklowice,śląskie
59,"Mieszkanie ul. Piekoszowska, Kielce",2 pokoje,"36,57 m²",,"136 659,75 zł","Kielce, świętokrzyskie",Kielce,świętokrzyskie
60,Grunt zabudowany Dołhołęka gm. Międzyrzec Podlaski,,90 000 m²,,"1 270 267,50 zł","Dołhołęka, bialski, lubelskie",Dołhołęka,lubelskie
61,Mieszkanie 82-300 Janów,3 pokoje,"83,80 m²",,66 750 zł,"Janów, elbląski, warmińsko-mazurskie",Janów,warmińsko-mazurskie
62,"Mieszkanie ul. Pieniężnego , 11-440 Reszel",3 pokoje,"62,40 m²",,79 500 zł,"Reszel, kętrzyński, warmińsko-mazurskie",Reszel,warmińsko-mazurskie
63,"Dom Chociw, 98-170 Widawa",3 pokoje,"212,70 m²",działka 899 m²,230 775 zł,"Chociw, łaski, łódzkie",Chociw,łódzkie
